image,1B_left,1B_right,2A_left,2A_right,2B_left,2B_right,3A_left,3A_right,3B_left,3B_right,4A_left,4A_right,4B_left,4B_right,5A_left,5A_right,5B_left,5B_right,6A_left,6A_right,6B_left,6B_right,7A_left,7A_right,7B_left,7B_right
390-U1556B-3R-3-Pc2-1x.BMP,9074,10430,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-3R-3-Pc2-2x.BMP,,,57,1392,6728,8238,,,,,,,,,,,,,,,,,,,,
390-U1556B-3R-3-Pc2-3x.BMP,,,,,,,78,1591,,,,,,,,,,,,,,,,,,
391-U1556B-3R-3-Pc2-4x.BMP,3082,9716,,,,,,,,,,,,,,,,,,,,,,,,
392-U1556B-3R-3-Pc2-5x.BMP,,,129,6761,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-1x.BMP,4878,9683,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-2x.BMP,,,266,5068,7922,8925,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-1-Pc2-3x.BMP,,,,,,,366,1394,,,,,,,,,,,,,,,,,,
391-U1556B-4R-1-Pc7-1x.BMP,5768,9552,,,,,,,,,,,,,,,,,,,,,,,,
392-U1556B-4R-1-Pc7-2x.BMP,,,987,4769,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-1x.BMP,7076,10347,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-2x.BMP,,,723,4056,6791,9411,,,,,,,,,,,,,,,,,,,,
390-U1556B-4R-2-Pc1-3x.BMP,,,,,,,90,2737,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-1x.BMP,7107,9274,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-2x.BMP,,,365,2612,8074,9591,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-2-Pc1-3x.BMP,,,,,,,242,1764,,,,,,,,,,,,,,,,,,
390-U1556B-9R-3-Pc1-2x.BMP,,,,,7532,7754,,,,,,,,,,,,,,,,,,,,
390-U1556B-9R-3-Pc1-3x.BMP,,,,,,,574,742,,,,,,,,,,,,,,,,,,
390-U1556B-10R-1-Pc10-1x.BMP,5785,9511,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-1-Pc10-2x.BMP,,,774,4509,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc1-1x.BMP,2785,9018,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc1-2x.BMP,,,618,6844,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc12-1x.BMP,3405,9757,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-10R-2-Pc12-2x.BMP,,,961,7314,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-1-Pc7-1x.BMP,8296,9589,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-1-Pc7-2x.BMP,,,350,1650,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-2-Pc1-1x.BMP,6251,9547,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-11R-2-Pc1-2x.BMP,,,40,3366,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-1x.BMP,8728,9980,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-2x.BMP,,,59,1312,8582,10406,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-1-Pc5-3x.BMP,,,,,,,451,2244,,,,,,,,,,,,,,,,,,
390-U1556B-12R-2-Pc2-1x.BMP,7645,9703,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-12R-2-Pc2-2x.BMP,,,683,2684,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-1x.BMP,7070,9015,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-2x.BMP,,,239,2194,8406,10502,,,,,,,,,,,,,,,,,,,,
390-U1556B-13R-1-Pc13-3x.BMP,,,,,,,340,2428,,,,,,,,,,,,,,,,,,
390-U1556B-16R-2-Pc1-1x.BMP,7074,9277,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-2-Pc1-2x.BMP,,,88,2289,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-1x.BMP,7055,9263,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-2x.BMP,,,142,2372,8312,9571,,,,,,,,,,,,,,,,,,,,
390-U1556B-16R-3-Pc1-3x.BMP,,,,,,,290,1548,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-1x.BMP,9035,9153,,,,,,,,,,,,,,,,,,,,,,,,
390-U1556B-17R-1-Pc2-2x.BMP,,,296,420,8406,8569,,,,,,,,,,,,,,,,,,,,
